pair_id	style	prompt_far	prompt_close	negative_prompt
focus_00256	a lithograph of	centered owl face, bold silhouette	filigreed ivy vines, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00257	a lithograph of	centered owl face, bold silhouette	delicate wild mushrooms, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00258	a lithograph of	centered owl face, bold silhouette	intricate autumn leaves, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00259	a lithograph of	centered owl face, bold silhouette	ornate coral branches, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00260	a lithograph of	centered owl face, bold silhouette	filigreed stained glass fragments, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00261	a lithograph of	centered owl face, bold silhouette	high-frequency mosaic tiles, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00262	a lithograph of	centered owl face, bold silhouette	embroidered fabric, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00263	a lithograph of	centered owl face, bold silhouette	ornate lace, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00264	a lithograph of	centered owl face, bold silhouette	high-frequency folded origami layers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00265	a lithograph of	centered owl face, bold silhouette	ceramic shards, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00266	a lithograph of	centered owl face, bold silhouette	intricate watch gears, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00267	a lithograph of	centered owl face, bold silhouette	ornate brass filigree, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00268	a lithograph of	centered owl face, bold silhouette	high-frequency circuit traces, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00269	a lithograph of	centered owl face, bold silhouette	mechanical engravings, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00270	a lithograph of	centered owl face, bold silhouette	intricate snake scales, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00271	a lithograph of	centered owl face, bold silhouette	frost crystals, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00272	a lithograph of	centered owl face, bold silhouette	ornate smoke swirls, close-up view	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00273	a lithograph of	centered owl face, bold silhouette	gemstone facets, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00274	a lithograph of	centered owl face, bold silhouette	woven threads, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00275	a lithograph of	iconic rabbit silhouette, large simple shapes	intricate eagle feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00276	a lithograph of	iconic rabbit silhouette, large simple shapes	high-frequency peacock plumage, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00277	a lithograph of	iconic rabbit silhouette, large simple shapes	delicate owl feathers, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00278	a lithograph of	iconic rabbit silhouette, large simple shapes	textured phoenix feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00279	a lithograph of	iconic rabbit silhouette, large simple shapes	ultra-detailed rose petals, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00280	a lithograph of	iconic rabbit silhouette, large simple shapes	intricate sunflower petals, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00281	a lithograph of	iconic rabbit silhouette, large simple shapes	filigreed ivy vines, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00282	a lithograph of	iconic rabbit silhouette, large simple shapes	delicate wild mushrooms, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00283	a lithograph of	iconic rabbit silhouette, large simple shapes	intricate autumn leaves, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00284	a lithograph of	iconic rabbit silhouette, large simple shapes	ornate coral branches, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00285	a lithograph of	iconic rabbit silhouette, large simple shapes	filigreed stained glass fragments, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00286	a lithograph of	iconic rabbit silhouette, large simple shapes	high-frequency mosaic tiles, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00287	a lithograph of	iconic rabbit silhouette, large simple shapes	embroidered fabric, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00288	a lithograph of	iconic rabbit silhouette, large simple shapes	ornate lace, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00289	a lithograph of	iconic rabbit silhouette, large simple shapes	high-frequency folded origami layers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00290	a lithograph of	iconic rabbit silhouette, large simple shapes	ceramic shards, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00291	a lithograph of	iconic rabbit silhouette, large simple shapes	intricate watch gears, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00292	a lithograph of	iconic rabbit silhouette, large simple shapes	ornate brass filigree, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00293	a lithograph of	iconic rabbit silhouette, large simple shapes	high-frequency circuit traces, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00294	a lithograph of	iconic rabbit silhouette, large simple shapes	mechanical engravings, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00295	a lithograph of	iconic rabbit silhouette, large simple shapes	intricate snake scales, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00296	a lithograph of	iconic rabbit silhouette, large simple shapes	frost crystals, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00297	a lithograph of	iconic rabbit silhouette, large simple shapes	ornate smoke swirls, close-up view	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00298	a lithograph of	iconic rabbit silhouette, large simple shapes	gemstone facets, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00299	a lithograph of	iconic rabbit silhouette, large simple shapes	woven threads, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00300	a lithograph of	poster-like serene monk face, symmetrical layout	intricate eagle feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00301	a lithograph of	poster-like serene monk face, symmetrical layout	high-frequency peacock plumage, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00302	a lithograph of	poster-like serene monk face, symmetrical layout	delicate owl feathers, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00303	a lithograph of	poster-like serene monk face, symmetrical layout	textured phoenix feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00304	a lithograph of	poster-like serene monk face, symmetrical layout	ultra-detailed rose petals, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00305	a lithograph of	poster-like serene monk face, symmetrical layout	intricate sunflower petals, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00306	a lithograph of	poster-like serene monk face, symmetrical layout	filigreed ivy vines, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00307	a lithograph of	poster-like serene monk face, symmetrical layout	delicate wild mushrooms, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00308	a lithograph of	poster-like serene monk face, symmetrical layout	intricate autumn leaves, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00309	a lithograph of	poster-like serene monk face, symmetrical layout	ornate coral branches, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00310	a lithograph of	poster-like serene monk face, symmetrical layout	filigreed stained glass fragments, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00311	a lithograph of	poster-like serene monk face, symmetrical layout	high-frequency mosaic tiles, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00312	a lithograph of	poster-like serene monk face, symmetrical layout	embroidered fabric, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00313	a lithograph of	poster-like serene monk face, symmetrical layout	ornate lace, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00314	a lithograph of	poster-like serene monk face, symmetrical layout	high-frequency folded origami layers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00315	a lithograph of	poster-like serene monk face, symmetrical layout	ceramic shards, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00316	a lithograph of	poster-like serene monk face, symmetrical layout	intricate watch gears, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00317	a lithograph of	poster-like serene monk face, symmetrical layout	ornate brass filigree, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00318	a lithograph of	poster-like serene monk face, symmetrical layout	high-frequency circuit traces, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00319	a lithograph of	poster-like serene monk face, symmetrical layout	mechanical engravings, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00320	a lithograph of	poster-like serene monk face, symmetrical layout	intricate snake scales, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00321	a lithograph of	poster-like serene monk face, symmetrical layout	frost crystals, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00322	a lithograph of	poster-like serene monk face, symmetrical layout	ornate smoke swirls, close-up view	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00323	a lithograph of	poster-like serene monk face, symmetrical layout	gemstone facets, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00324	a lithograph of	poster-like serene monk face, symmetrical layout	woven threads, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00325	a lithograph of	monumental lighthouse, centered composition	intricate eagle feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00326	a lithograph of	monumental lighthouse, centered composition	high-frequency peacock plumage, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00327	a lithograph of	monumental lighthouse, centered composition	delicate owl feathers, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00328	a lithograph of	monumental lighthouse, centered composition	textured phoenix feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00329	a lithograph of	monumental lighthouse, centered composition	ultra-detailed rose petals, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00330	a lithograph of	monumental lighthouse, centered composition	intricate sunflower petals, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00331	a lithograph of	monumental lighthouse, centered composition	filigreed ivy vines, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00332	a lithograph of	monumental lighthouse, centered composition	delicate wild mushrooms, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00333	a lithograph of	monumental lighthouse, centered composition	intricate autumn leaves, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00334	a lithograph of	monumental lighthouse, centered composition	ornate coral branches, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00335	a lithograph of	monumental lighthouse, centered composition	filigreed stained glass fragments, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00336	a lithograph of	monumental lighthouse, centered composition	high-frequency mosaic tiles, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00337	a lithograph of	monumental lighthouse, centered composition	embroidered fabric, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00338	a lithograph of	monumental lighthouse, centered composition	ornate lace, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00339	a lithograph of	monumental lighthouse, centered composition	high-frequency folded origami layers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00340	a lithograph of	monumental lighthouse, centered composition	ceramic shards, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00341	a lithograph of	monumental lighthouse, centered composition	intricate watch gears, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00342	a lithograph of	monumental lighthouse, centered composition	ornate brass filigree, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00343	a lithograph of	monumental lighthouse, centered composition	high-frequency circuit traces, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00344	a lithograph of	monumental lighthouse, centered composition	mechanical engravings, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00345	a lithograph of	monumental lighthouse, centered composition	intricate snake scales, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00346	a lithograph of	monumental lighthouse, centered composition	frost crystals, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00347	a lithograph of	monumental lighthouse, centered composition	ornate smoke swirls, close-up view	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00348	a lithograph of	monumental lighthouse, centered composition	gemstone facets, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00349	a lithograph of	monumental lighthouse, centered composition	woven threads, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00350	a lithograph of	high-contrast butterfly, symmetrical layout	intricate eagle feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00351	a lithograph of	high-contrast butterfly, symmetrical layout	high-frequency peacock plumage, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00352	a lithograph of	high-contrast butterfly, symmetrical layout	delicate owl feathers, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00353	a lithograph of	high-contrast butterfly, symmetrical layout	textured phoenix feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00354	a lithograph of	high-contrast butterfly, symmetrical layout	ultra-detailed rose petals, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00355	a lithograph of	high-contrast butterfly, symmetrical layout	intricate sunflower petals, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00356	a lithograph of	high-contrast butterfly, symmetrical layout	filigreed ivy vines, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00357	a lithograph of	high-contrast butterfly, symmetrical layout	delicate wild mushrooms, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00358	a lithograph of	high-contrast butterfly, symmetrical layout	intricate autumn leaves, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00359	a lithograph of	high-contrast butterfly, symmetrical layout	ornate coral branches, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00360	a lithograph of	high-contrast butterfly, symmetrical layout	filigreed stained glass fragments, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00361	a lithograph of	high-contrast butterfly, symmetrical layout	high-frequency mosaic tiles, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00362	a lithograph of	high-contrast butterfly, symmetrical layout	embroidered fabric, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00363	a lithograph of	high-contrast butterfly, symmetrical layout	ornate lace, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00364	a lithograph of	high-contrast butterfly, symmetrical layout	high-frequency folded origami layers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00365	a lithograph of	high-contrast butterfly, symmetrical layout	ceramic shards, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00366	a lithograph of	high-contrast butterfly, symmetrical layout	intricate watch gears, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00367	a lithograph of	high-contrast butterfly, symmetrical layout	ornate brass filigree, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00368	a lithograph of	high-contrast butterfly, symmetrical layout	high-frequency circuit traces, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00369	a lithograph of	high-contrast butterfly, symmetrical layout	mechanical engravings, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00370	a lithograph of	high-contrast butterfly, symmetrical layout	intricate snake scales, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00371	a lithograph of	high-contrast butterfly, symmetrical layout	frost crystals, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00372	a lithograph of	high-contrast butterfly, symmetrical layout	ornate smoke swirls, close-up view	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00373	a lithograph of	high-contrast butterfly, symmetrical layout	gemstone facets, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00374	a lithograph of	high-contrast butterfly, symmetrical layout	woven threads, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00375	a lithograph of	simple crescent moon, clean background	intricate eagle feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00376	a lithograph of	simple crescent moon, clean background	high-frequency peacock plumage, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00377	a lithograph of	simple crescent moon, clean background	delicate owl feathers, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00378	a lithograph of	simple crescent moon, clean background	textured phoenix feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00379	a lithograph of	simple crescent moon, clean background	ultra-detailed rose petals, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00380	a lithograph of	simple crescent moon, clean background	intricate sunflower petals, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00381	a lithograph of	simple crescent moon, clean background	filigreed ivy vines, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00382	a lithograph of	simple crescent moon, clean background	delicate wild mushrooms, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00383	a lithograph of	simple crescent moon, clean background	intricate autumn leaves, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00384	a lithograph of	simple crescent moon, clean background	ornate coral branches, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00385	a lithograph of	simple crescent moon, clean background	filigreed stained glass fragments, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00386	a lithograph of	simple crescent moon, clean background	high-frequency mosaic tiles, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00387	a lithograph of	simple crescent moon, clean background	embroidered fabric, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00388	a lithograph of	simple crescent moon, clean background	ornate lace, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00389	a lithograph of	simple crescent moon, clean background	high-frequency folded origami layers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00390	a lithograph of	simple crescent moon, clean background	ceramic shards, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00391	a lithograph of	simple crescent moon, clean background	intricate watch gears, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00392	a lithograph of	simple crescent moon, clean background	ornate brass filigree, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00393	a lithograph of	simple crescent moon, clean background	high-frequency circuit traces, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00394	a lithograph of	simple crescent moon, clean background	mechanical engravings, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00395	a lithograph of	simple crescent moon, clean background	intricate snake scales, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00396	a lithograph of	simple crescent moon, clean background	frost crystals, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00397	a lithograph of	simple crescent moon, clean background	ornate smoke swirls, close-up view	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00398	a lithograph of	simple crescent moon, clean background	gemstone facets, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00399	a lithograph of	simple crescent moon, clean background	woven threads, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00400	a lithograph of	iconic violin, centered composition	intricate eagle feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00401	a lithograph of	iconic violin, centered composition	high-frequency peacock plumage, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00402	a lithograph of	iconic violin, centered composition	delicate owl feathers, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00403	a lithograph of	iconic violin, centered composition	textured phoenix feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00404	a lithograph of	iconic violin, centered composition	ultra-detailed rose petals, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00405	a lithograph of	iconic violin, centered composition	intricate sunflower petals, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00406	a lithograph of	iconic violin, centered composition	filigreed ivy vines, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00407	a lithograph of	iconic violin, centered composition	delicate wild mushrooms, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00408	a lithograph of	iconic violin, centered composition	intricate autumn leaves, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00409	a lithograph of	iconic violin, centered composition	ornate coral branches, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00410	a lithograph of	iconic violin, centered composition	filigreed stained glass fragments, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00411	a lithograph of	iconic violin, centered composition	high-frequency mosaic tiles, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00412	a lithograph of	iconic violin, centered composition	embroidered fabric, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00413	a lithograph of	iconic violin, centered composition	ornate lace, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00414	a lithograph of	iconic violin, centered composition	high-frequency folded origami layers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00415	a lithograph of	iconic violin, centered composition	ceramic shards, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00416	a lithograph of	iconic violin, centered composition	intricate watch gears, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00417	a lithograph of	iconic violin, centered composition	ornate brass filigree, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00418	a lithograph of	iconic violin, centered composition	high-frequency circuit traces, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00419	a lithograph of	iconic violin, centered composition	mechanical engravings, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00420	a lithograph of	iconic violin, centered composition	intricate snake scales, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00421	a lithograph of	iconic violin, centered composition	frost crystals, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00422	a lithograph of	iconic violin, centered composition	ornate smoke swirls, close-up view	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00423	a lithograph of	iconic violin, centered composition	gemstone facets, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00424	a lithograph of	iconic violin, centered composition	woven threads, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00425	a lithograph of	bold chess king, frontal view	intricate eagle feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00426	a lithograph of	bold chess king, frontal view	high-frequency peacock plumage, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00427	a lithograph of	bold chess king, frontal view	delicate owl feathers, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00428	a lithograph of	bold chess king, frontal view	textured phoenix feathers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00429	a lithograph of	bold chess king, frontal view	ultra-detailed rose petals, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00430	a lithograph of	bold chess king, frontal view	intricate sunflower petals, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00431	a lithograph of	bold chess king, frontal view	filigreed ivy vines, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00432	a lithograph of	bold chess king, frontal view	delicate wild mushrooms, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00433	a lithograph of	bold chess king, frontal view	intricate autumn leaves, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00434	a lithograph of	bold chess king, frontal view	ornate coral branches, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00435	a lithograph of	bold chess king, frontal view	filigreed stained glass fragments, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00436	a lithograph of	bold chess king, frontal view	high-frequency mosaic tiles, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00437	a lithograph of	bold chess king, frontal view	embroidered fabric, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00438	a lithograph of	bold chess king, frontal view	ornate lace, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00439	a lithograph of	bold chess king, frontal view	high-frequency folded origami layers, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00440	a lithograph of	bold chess king, frontal view	ceramic shards, busy surface patterns	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00441	a lithograph of	bold chess king, frontal view	intricate watch gears, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00442	a lithograph of	bold chess king, frontal view	ornate brass filigree, ornamental detail	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00443	a lithograph of	bold chess king, frontal view	high-frequency circuit traces, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00444	a lithograph of	bold chess king, frontal view	mechanical engravings, rich micro-details	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00445	a lithograph of	bold chess king, frontal view	intricate snake scales, dense texture	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
focus_00446	a lithograph of	bold chess king, frontal view	frost crystals, fine edges	text, watermark, logo, blurry, low contrast, low quality, distorted anatomy
